4.92,0,0,0.316,4.902,0
4.934,0,0,0.317,4.907,0
4.961,0,0,0.317,4.915,0
4.914,0,0,0.316,4.905,0
4.941,0,0,0.316,4.894,0
4.929,0,0,0.316,4.894,0
4.921,0,0,0.316,4.893,0
4.944,0,0,0.317,4.911,0
4.914,0,0,0.315,4.888,0
4.954,0,0,0.316,4.898,0
4.913,0,0,0.315,4.884,0
4.942,0,0,0.315,4.883,0
4.912,0,0,0.315,4.883,0
Day,Volume(ml),Volume From Sample(ml),Volume/Gram(ml/g),Innoculum Avg(ml/g),Total Evolved(ml)
118.441,0,0,7.576,117.429,0
118.288,0,0,7.578,117.456,0
Cellu 10,1,0,14.27,2.39,5.17
Hour,Volume(ml),Volume From Sample(ml),Volume/Gram(ml/g),Innoculum Avg(ml/g),Total Evolved(ml)
4.929,0.432,0.181,0.315,4.497,0.432
4.958,0.456,0.191,0.315,4.502,0.888
4.932,0.418,0.175,0.316,4.514,1.305
4.951,0.461,0.193,0.315,4.49,1.766
4.934,0.431,0.18,0.316,4.504,2.197
4.922,0.401,0.168,0.317,4.52,2.598
4.939,0.436,0.182,0.316,4.504,3.034
4.945,0.44,0.184,0.316,4.505,3.474
4.959,0.462,0.193,0.315,4.498,3.936
4.947,0.438,0.183,0.316,4.508,4.374
4.941,0.435,0.182,0.316,4.506,4.809
4.921,0.411,0.172,0.316,4.51,5.221
4.922,0.415,0.174,0.316,4.507,5.636
4.922,0.414,0.173,0.316,4.509,6.049
4.915,0.423,0.177,0.315,4.492,6.472
4.943,0.436,0.182,0.316,4.507,6.908
4.914,0.414,0.173,0.315,4.5,7.323
4.927,0.427,0.179,0.315,4.5,7.75
4.93,0.432,0.181,0.315,4.499,8.181
4.926,0.417,0.174,0.316,4.509,8.598
4.92,0.422,0.177,0.315,4.498,9.021
4.934,0.432,0.181,0.316,4.503,9.452
4.96,0.441,0.184,0.317,4.519,9.893
4.952,0.442,0.185,0.316,4.51,10.335
4.944,0.457,0.191,0.314,4.487,10.792
4.913,0.419,0.175,0.315,4.493,11.211
4.955,0.444,0.186,0.316,4.511,11.655
4.923,0.418,0.175,0.316,4.505,12.073
4.95,0.451,0.189,0.315,4.5,12.524
4.952,0.443,0.185,0.316,4.509,12.966
4.942,0.433,0.181,0.316,4.509,13.4
4.957,0.457,0.191,0.315,4.5,13.857
4.916,0.406,0.17,0.316,4.51,14.262
4.924,0.418,0.175,0.316,4.507,14.68
4.953,0.452,0.189,0.315,4.501,15.132
4.949,0.436,0.183,0.316,4.513,15.569
4.939,0.421,0.176,0.317,4.518,15.99
4.922,0.397,0.166,0.317,4.525,16.387
4.938,0.422,0.177,0.316,4.516,16.809
4.925,0.42,0.176,0.316,4.505,17.229
4.927,0.422,0.176,0.316,4.505,17.651
4.915,0.411,0.172,0.316,4.505,18.061
4.951,0.43,0.18,0.317,4.521,18.491
4.94,0.44,0.184,0.315,4.5,18.931
4.96,0.451,0.189,0.316,4.509,19.382
4.929,0.432,0.181,0.315,4.496,19.814
4.939,0.443,0.186,0.315,4.496,20.257
